[2025-11-17 05:57:51] [UNKNOWN] server.port "28015"
[2025-11-17 05:57:51] [UNKNOWN] server.identity "my_server_identity"
[2025-11-17 06:36:45] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:37:48] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:38:20] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:38:53] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:39:00] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:39:12] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:39:16] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:39:18] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:39:24] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:39:26] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:39:30] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:39:40] [USER 76561199145125286 38.175.200.129:50269] craft.add "184516676" "3" "0"
[2025-11-17 06:39:45] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:40:02] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:40:06] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:40:14] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:40:38] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:41:18] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:48:03] [USER 76561199145125286 38.175.200.129:50269] lighttoggle
[2025-11-17 06:55:40] [USER 76561199145125286 38.175.200.129:50269] lighttoggle
[2025-11-17 06:56:43] [USER 76561199145125286 38.175.200.129:50269] lighttoggle
[2025-11-17 06:56:58] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:57:11] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:57:56] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:59:25] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:59:43] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:59:49] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 06:59:51] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 07:00:05] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
[2025-11-17 07:00:31] [USER 76561199145125286 38.175.200.129:50269] inventory.endloot
